deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
9228,Low,2022-10-28,4039,Container,18.573579739904176,There are rollers in the section that aren't rotating.,There was a failure to follow the instructor.,Defective equipment.,"Insufficient adjustment, maintenance, and repair.",The rope rollers will be carried out.,"In case of any issue, the mooring station equipment should be reported to C/O in a timely manner.",No
4106,Low,2022-11-29,1318,Dry Bulk,7.162217659137577,There is a steering gear compartment.,The gyro compass light is not working.,There was an inadequate check after the blackout test.,"The emergency steering gyro compass repeater light was last checked in good order before the maneuver at Abbot Point, Australia.",There is a spare bulb on the spot.,All lights need to be checked every week and after drills.,No
16106,High,2023-07-21,3141,Chemical,16.05475701574264,There was no security drill after 7 crew members were changed.,"While scrutinizing the drill records, the PSCO noted that there was a crew change of more than 25% and the vessel had conducted an abandon ship drill and fire drill within 24 hours of the crew change.",There was an isolated lapse on complying with drill requirements.,There was an isolated lapse on complying with drill requirements.,"After obtaining terminal permission, the vessel conducted a security drill.",The drills and trainings were conducted as per the company procedure after the master was debriefed.,No
1326,Low,2023-05-15,2318,Dry Bulk,13.119780971937027,There is a different type of beacon found on some navigation lights.,The lights are used without protection.,The store at fore peak has some lamps that burn-out.,"During the last safety inspection on the ship, the staff identified the lights that were due to wear and they were put on order.",There was a discrepancy between the light on Aft ANCHOR top and the light on the other side.,I don't know.,No
14404,Medium,2023-04-14,2113,Container,13.36618754277892,The sewage discharge valve was not locked.,"The vessel is fitted with OWS, type- 3Sep OWS-5m3/h, Oil Filtering equipment with alarm and automatic stopping device.",Defective valve of sewage system is an immediate cause-substandard act.,There are 12 factors that can cause a job to fail.,The discharge valve to Aft peak tank was replaced because it was stuck in shut position.,The topic will be discussed during monthly safety and management meetings.,No
7116,Medium,2024-06-27,5011,Dry Bulk,16.654346338124572,There is a bad gasket on the entrance to the engine room.,Engine crew replaced the ceramic glass gasket of the entrance to the engine room.,The gasket of the fire door is rotten.,There is a lack of compliance with company requirements.,Engine crew replaced the ceramic glass gasket of the entrance to the engine room.,"During next quarterly maintenance/ inspection and submission of TEC 27 'Quarterly LSA-FFE Maintenance Checklist' and MAR02 'Deck Equipment Maintenance Booklet' end of September, the vessel was instructed to submit date imprinted photo evidence of all fire doors condition.",No
10101,High,2023-03-23,1366,Dry Bulk,10.72416153319644,There are cracks on the steps.,PSCO V.V. Rusanov imposed a new deficiency during the Novorossiysk PSC inspection.,There was an inadequate check after the blackout test.,"There was a strong sea and it was difficult to board the ship, so Master decided to drive the engine to make a leeward.",Purchase order for new pilot ladder type A with certificate will be made by master.,The steps should always be clean and free from oil and grease.,No
13105,High,2024-01-31,2302,Dry Bulk,12.752908966461328,The automatic start for the sea water cooling pump is malfunctioning.,INSULATION MATERIALS FOR PIPES FROM E/R TO FIRE STATION ON A-60 ARE NOT COVERD.,There are human factors.,The PIC engineer neglects at regular inspection.,"To control the automatic starting, use the pressure launcher.",We will strictly implement the manual in the future.,No
14108,Medium,2024-04-23,1002458,Dry Bulk,10.223134839151266,The alarm system malfunctioned.,"The vessel is fitted with OWS, type- 3Sep OWS-5m3/h, Oil Filtering equipment with alarm and automatic stopping device.",Defective valve of sewage system is an immediate cause-substandard act.,The maker manual has an inadequate scheduling of maintenance work.,The normal working of OWS was restored after the Smart Bilge measuring cell was cleaned and flushed with fresh water.,"In consultation with the Technical Manager and Makers, the job for cleaning the cell was changed to weekly instead of monthly.",Yes
9206,Medium,2023-08-22,2451,Dry Bulk,11.055441478439423,The peak area must be cleaned.,The peak area must be cleaned.,There are a lot of rubber hoses and ropes on the floor.,The rubber hoses were not stacked correctly.,The rubber hoses were stacked at the storage shelf.,Improve all crew's safety awareness.,No
8108,High,2023-03-02,2318,General Cargo,10.74880219028063,Several alarms were found in the alarm system.,The root cause was related to faulty sensors for the isolated alarms.,There was a violation of SOLAS 1981 Chapter II.,There are valid generic and specific certificates for the ECDIS held by all watchkeepers.,"Due to the location of the vessel, the replacement sensors could not be delivered.",The engine room will be manned until the alarms are online.,No
13102,Medium,2023-08-30,741,Dry Bulk,10.65845311430527,The auxiliary engine number two was leaking oil.,The auxiliary engine number two was leaking oil.,The crew did not follow the inspection.,The crew left some stains on the machine after not cleaning the lube oil properly.,The crew cleans the lube oil stains.,The C/E and 1/E will make sure the engine room is clean.,No
4114,Low,2024-04-19,3050,Oil,17.21286789869952,The emergency switchboard has a colour strip designation.,There is low insulation on the emergency generator.,The crew members were aware that the sea chest valves were not marked with a contrasting color during the inspection.,The emergency switchboard has a colour strip on it.,This deficiency is appreciated by the vessel staff and managers.,The observation will be sent to all fleet vessels to confirm that they have the colour strip designation on the emergency switchboard.,No
10117,Medium,2023-02-28,4068,Container,3.159479808350445,The log book has not been verified.,The log book has not been verified.,The master was not occupied at other tasks.,The master forgot to sign at other tasks.,The master signed the log.,Verification of documents will be carried out with master training.,No
9201,Medium,2023-03-20,3378,Dry Bulk,13.379876796714578,The air vent on WBT 5 stbd is not tightly sealed.,There is no effective prevention of mosquitoes in the hospital.,The air vent side cover supports the air vent.,Material degrades due to exposure.,Securing bolts are checked and replaced where necessary.,"To identify where maintenance is needed, weekly inspection should be increased.",No
10137,Low,2022-09-05,2610,Dry Bulk,3.676933607118412,LRIT is not required.,The LRIT conformance test report is not original.,The procedure used during the exchange was explained by the captain.,The cause for why there was only a copy of the LRIT Conformance Test on board was related to the IKM that misinterpreted the regulations and filed the original document at their facilities.,A copy of the original LRIT conformance test report has been accepted by the NMA.,"To avoid similar deficiencies in the future on board any of the company's vessels where only a copy of the LRIT conformance test report is filed on board, a statement has been requested from NMA to confirm that a copy is a valid report.",No
1326,Low,2022-09-04,439,Dry Bulk,18.091718001368925,There is missing evidence that is approved for the Administration Booklet.,There is missing evidence that is approved for the Administration Booklet.,Not under the Company's/ship management control.,The final loading manual needs to be checked with Administration.,The declaration was attached to the report.,All documents should be paid more attention to.,No
18316,High,2023-09-22,741,Dry Bulk,20.82135523613963,"Water, pipes, tanks and cargo hold no. six and sever rusted.",Some bolts and nuts of the bilge standard discharge connection were found to be heavily corroded.,The immediate cause of the defect was due to the exposure to the marine environment.,There is a lack of responsibility for deck maintenance work.,The maintenance work was carried out in time after departure from Constanta.,"Once the weather permits, de-rusting maintenance work can be carried out.",No
7105,Medium,2024-03-19,2174,Chemical,6.965092402464066,There are fire doors in fire-resisting divisions.,There are several fire doors that are not closing properly in the room.,The staff missed out on the fact that three of the fire doors were not adequately closing.,There is inadequate maintenance and hazard identification.,The doors for both spaces have been adjusted and are self-closing.,This observation will be shared with all fleet vessels to ensure that all self-closing doors are latched when in closed position.,No
7125,High,2023-04-09,4720,Dry Bulk,22.02053388090349,The lack of a central centre of command and poor crew performance were related to the missing head count.,Poor crew performance during fire drill is related to poor maintenance and lack of central centre of command.,The correct donning procedure was explained to the crew members after they were briefed on the inspector's concern.,The orientation on the fire drill was inadequate.,"Crew members were educated on the procedures for fighting fires, including the use of fireman outfits, fireman's radio, and equipment.",The master and head of departments will closely watch the drills.,No
1340,Low,2023-05-09,1135,Dry Bulk,11.101984941820673,There is a valid SOC for fuel oil consumption reporting or for fuel oil consumption reporting and operational carbon intensity rating.,The title was reg. 4.,The crew delayed responding to the PSC officer request due to their busy schedule.,The SEEMP folder was not found to be valid for fuel oil consumption reporting.,Request a new copy valid SOC for fuel consumption and update as per requirement.,"If a document is not found, always ask for shore assistance.",No
10118,Medium,2024-06-14,3083,Dry Bulk,19.95345653661876,The control of the water in the cargo hold is in the control of the engine.,The control of the water in the cargo hold is in the control of the engine.,China ports are not convenient for delivery of spare parts.,The alarm panel's power supply was faulty.,The fault that caused the failure of the power supply was replaced.,The ETR will periodically check the panels of the alarm system.,No
1214,Low,2023-04-14,146,Dry Bulk,11.137577002053389,The endorsement of Flag State for the 2nd ENGs Certificate of competency was found with a wrong COC Number.,The endorsement of Flag State for the 2nd ENGs Certificate of competency was found with a wrong COC Number.,Substandard acts.,"As soon as practical after joining the vessel, all Crew Certificates must be reviewed for validity and correct entries, as well as any discrepancies brought to the attention of Office for follow-up.","During the course of the inspection and deficiency closed with the PSC prior disembarkation, a new CRA was issued by the flag.","Observation to be shared, along with the Monthly Finding List, with Fleet vessels to review crew certificates for correct entries.",No
11110,Low,2024-05-22,4438,Container,14.302532511978097,There are straps not arranged on the liferaft port side.,There are straps not arranged on the liferaft port side.,The vessel not update and poster on time was due to the port facility security level.,P.I.C didn't acknowledge well on securing strap for life raft leading to improper handling.,P.I.C immediately adjusted the arrangement of the Life raft lashing strap.,"To avoid this issue from occurring again, Master conducted the education to all crews about international regulation related to SOLAS 1996.",No
14105,High,2024-04-16,936,Chemical,16.3750855578371,"There was an oil spill during the operation of the MARPOL AnNEX I/Pumping, piping and discharge arrangements.",There was an oil spill from the 2P tank vent.,The air supply system valve was closed.,Refer investigation report shows that the 2P Bunker tank filling valve was leaking and lead to the overflow of the 1 Starboard VLSFO Bunker tank.,There was a 300 liter oil spill which was contained on the deck.,Training session for all ship's staff was conducted for correct procedures to be followed as per company's Fuel management plan Chapter 5 'Bunkering Procedures'.,No
14899,Medium,2023-09-20,3096,Chemical,14.967830253251195,Poor condition filter for the head of the air vent.,The engine room of the vessel has been meticulously maintained and is currently in good working condition.,There was a missingPLUG.,Its condition became poor due to lack of proper maintenance.,"Cleaning, maintenance and renewal of filters by crews.",The Chief Officer was reminded to inspect and verify the Filter for the head of the air vent.,No
7119,Low,2023-05-19,1152,General Cargo,10.543463381245722,Fire protection is lacking.,The insulation material of the FO drain tank is broken.,There are human factors.,There are human factors.,VT-V-161.,VT-V- 163.,No
3105,Medium,2022-12-21,3595,Dry Bulk,40.88432580424367,There is a lack of maintenance on weathertight hatches on board.,The forward forecastle doors are weathertight.,There is a lack of supervision from the onboard management.,Insufficient maintenance.,The crew welded and installed steel cleats and secured devices.,Managers are to be kept fully aware of any defects that can't be fixed.,No
3109,High,2023-07-04,942,Container,13.174537987679672,"Most cleats can't be closed, 2 are missing.",Cargo hold entrance hatch No. 2 and No.5 are not able to close properly.,Substandard acts.,"After the departure of the vessel from the port, the Chief Officer and Chief Engineer had already identified the condition and maintenance work that needed to be done.",The 2 missing cleats were replaced with the help of the deck crew.,The Chief Officer was strongly advised to follow all the Company's maintenance procedures onboard in order to ensure the vessel's good maintenance condition as required.,No
1310,Medium,2023-09-18,2586,Dry Bulk,13.297741273100616,The fire symbol is missing.,There is a lack of safety awareness.,It's not like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it,"All FFE and LSA equipment was clearly identified with proper IMO signs, except for Fire VHF which is located at Bridge.",The sign for Fire VHF was pointed out by the inspector.,The topic will be included in the lesson learned.,No
18103,Low,2022-12-18,232,Ro-Ro,23.381245722108144,A seafarer with medical fitness is valid for more than 2 years.,A seafarer for a medical checkup.,"Even if validation of certificate was met according to company requirement, some crew's medical certificate was not meet U.K rule.",The crew's medical certificate was met because all the validation was done in 2 years.,Discuss medical certificate of philippine crew with company.,The attached agreement will be used for the prevention of the same point out from the external parties.,No
7119,Low,2023-10-31,936,Container,10.82819986310746,There are a lot of loose boxes in the CO2 room.,Non-Conformity was rectified on April 12.,"Due to short passage and lack of awareness of situational importance of hygiene, the washrooms on the ship were not immediately cleaned and maintained.",The Chief Officer's failure to maintain vessel's proper housekeeping and hygiene condition is the root cause of the deficiency.,The boxes had to be removed immediately.,The monthly safety committee meeting with the participation of all officers and crew will discuss all the deficiencies.,No
2132,High,2023-09-06,4201,Dry Bulk,7.679671457905544,The water is giving a continuous alarm.,Code 17.,The Pre-Alarm for No.4 Cargo hold was activated due to malfunction of the sensor.,There was a misunderstanding between the PSCOs and the water ingress alarm system.,The PSCOs were accepted before their disembarkation after the ship's staff explained the same to them.,It's not like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it,No
1220,High,2023-04-13,3063,Dry Bulk,9.86447638603696,There are 12 crew members with the SEA who have exceeded their contract time.,Certifying and documentation is part of the Seafarers' employment agreement.,Failure to follow instructions.,Manning agency prioritized responding to various restrictions on crew change procedures due to the effects of the Pandemic and overlooked simple Crew Contract duration and extension procedures which required POEA.,The POEA contract for 12 crew was extended by 2 months.,"Since the declaration of the end of the Pandemic, restrictions have been relaxed in each country, so it is now possible to respond to normal operations.",No
18101,Low,2023-02-14,1247,General Cargo,13.286789869952088,There is a light for the starboard side.,There is a navigation.,"Although we are thankful for drawing Master's attention to unlit navigation light, we believe that this fact couldn't be recorded as PSC deficiency.",The vessel didn't deviate from the instructions.,"The PSC Deficiency was upgraded to ""code 10 - rectified"".",The vessel was equipped with spare light and alarm.,No
1308,Medium,2024-06-04,1134,Dry Bulk,14.926762491444215,"In the month of May, actual hours of rest are not reflected in the recorded rest hours of deck personnel.",The rope was soaked in paint and found on the starboard side.,Substandard acts.,There was a conflict between rest hours and drills.,The necessity to be properly and accurately recorded was the topic of the safety committee meeting.,"In order to avoid similar occurrences in the future, the Company has taken the following measures: - A Safety Bulletin has been forwarded to the Company's managed vessels with the outcome of PSC Inspection which is to be discussed during the next Safety Committee Meeting.",No
1326,Low,2022-10-14,457,Dry Bulk,11.203285420944558,"The ship must be compliant with the requirements of SOLAS XII/4, 5, 6 and 7.",The type of ship in the certificates is not known.,The Chief Officer presented the plan to the officer.,PSCO was confused due to the dual vessel type and want to have a confirmation from flag as the stability booklet was approved by flag.,"Immediately, the vessel flag (Barbados) was contacted to have clarification on the defect and issue a statement on the type of vessel.",Sharing Auditor Deficiency will be shared with auditors.,No
3103,High,2022-09-02,2186,Dry Bulk,5.66735112936345,The gangway net is damaged.,"All the vessels need to have a certain number of mandatory, hazard, safety, fire, direction and prohibitory signs.",The old gingham net was replaced with a new one.,"There is a lack of compliance, inadequate maintenance, and insufficient supervision.",NET REPLACED.,There is an issue to be included in the next committee meeting.,No
7116,Medium,2024-01-24,1366,Chemical,14.899383983572896,The fan is from E/R.,"The interim certificate expired on January 14, 2023.",Substandard acts.,The operation and general condition of the E/R fans will be verified quarterly in line with e-PMS.,"After the vessel's departure, maintenance is expected to be completed by the end of January.",The Master and the deck officer discussed the importance of protecting the vessel's appearance during the remote close out meeting.,No
2109,Low,2023-02-01,1867,Dry Bulk,6.083504449007529,There is no evidence that the vessel is provided with an inspection boat as required by the ship's access manual at the time of the inspection.,The inflatable boat is mentioned in the access manual as a means to inspect the higher parts of the Fore Peak Tank.,Testing was carried out after the repair and it was found to be in good working order.,There are improper arrangements.,"As per the advice of the PSC officer, the verification that the deficiency was closed out will be done by the attending PSC officer at the next Paris MOU PSC inspection.",The inspection of portable access equipment as per access manual was revised in order to raise crew awareness.,No
9201,Medium,2024-03-01,850,Container,19.000684462696785,The space that was used for oil production was garbage-strewn.,The O2/Acetylene room doors had a retrofit plate welded on them.,There was a small amount of water at the entrance of the pipe duct during the PSC inspection.,The root cause of the deficiency is a housekeeping issue.,The deficiency was fixed to the satisfaction of the PSC officer.,"The Chief Engineer, Engine's officers and personnel were strongly advised to ensure proper detection, elimination of any leaking and cleaning works on a daily basis and to ensure that all deficiencies are discussed at the monthly safety committee meeting.",No
2126,High,2023-10-19,5382,Dry Bulk,14.795345653661876,Not required - hold the vent.,The vent of the cargo hold was found to be severely corroded.,Human Factors: Failure to fulfill maintenance requirements: Defective parts/components not replaced/repaired in due time proper maintenance to remove/clean/minimize rust on vent gratings could and should be done by crew on board.,"Lack of motivation, poor risk awareness, and perception of risk are some of the human factors.",Proper repair/replacement of grids will be done during the upcoming dry-dock.,"Master will ensure compliance with Company's instructions and regulatory requirements for the inspection and maintenance of bulk carrier hatch covers / coamings and openings, in addition to the repairs to be carried out at this time.",No
6107,Medium,2023-05-12,3570,Dry Bulk,0.7775496235455168,The cargo operations control form was not signed by the terminal representative.,There are no drills visible on the company form III.3.1.3 Drill & Training log.,There are human factors.,There is a human error.,The discharge plan has a terminal representative signature on it.,The deck officers carried out a report on the deficiency.,No
18315,High,2023-03-27,439,Dry Bulk,11.233401779603012,There was some pasta with worms.,"During the last monthly inspection, all provision items were found to be in good condition.",Testing was carried out after the repair and it was found to be in good working order.,The inspection was inadequate.,The spoiled pasta was thrown away.,The Galley staff has been briefed by the master to ensure proper inspection of all provision items and any sign of spoilt items to be safely dispose of.,No
9127,Low,2023-06-06,4856,General Cargo,15.594798083504449,There were insects noted inside the light covers.,There were insects noted inside the light covers.,There were a lot of flies around the vessel.,We didn't remove the dead flies before we arrived.,Light covers were removed and cleaned.,Light cover for any flies trap should be included in a routine inspection.,No
11119,Medium,2023-11-30,2727,Dry Bulk,0.7501711156741958,The crew was provided with an inappropriate size suit.,"Two sets of immersion suits were found missing at the time of the inspection, as per the fire control and safety plan.",There are human factors.,The crew was given the wrong size of suit.,Re-checking the height of each crew is one of the things that the company has to do.,"To avoid the same case, check the appropriate immersion size for each crew in any changes or new crew assigned during delivery of the vessel.",No
15113,Medium,2024-04-30,1065,Dry Bulk,8.914442162902121,It was not possible for Vessel to implement cyber risk management.,Instructions and procedures to ensure safe operation of ships should be included in every company's safety management system.,The officer forgot to put the blocker back in ECDIS as he was rushing to finish the plan.,Master and Navigating Officer didn't know that a password should be kept in computers.,The deleted file 'Computer Credentials' is kept in Master's custody.,Master's weekly verification and before arrival port that cyber security management is being maintained.,No
16103,Low,2022-11-24,3063,Dry Bulk,3.063655030800821,The Security Plan was not signed by the SSO and the PFSO.,The Security Plan was not signed by the SSO and the PFSO.,Substandard acts.,Lack of Knowledge of Statutory Rules/ Regulations/Procedures is a problem.,"When he came on board at 1610lt, he sent a request email to the local PFSO which was signed and stamped on the D.O.S.",Comply with the procedures for every port.,No
9207,Medium,2024-02-06,1457,Dry Bulk,23.01163586584531,No.1 G/E INSTRUMENT PANEL can't be read.,The loading instrument computer is used for other administrative issues and is not dedicated for stability information.,The door wasn't closing due to Deformation.,SMO-702-1.2 Routine Check and Test at Sea was not followed.,Return the damage caused by the pressUREGUAGE.,"The electrician and engineer should check generators, motors, switchboard, gauge, sound and light signal, alarm system and other electrical equipment at least twice a day.",No
13102,Medium,2022-10-21,1273,Dry Bulk,10.387405886379192,Exhaust lagging on generators is not a problem.,There is a navigation.,The officer in charge failed to inspect the exhaust gas pipe.,The crew didn't carry out inspection according to the plan.,The lagging on the exhausts has been re-installed.,"Trained the crew and make sure they are familiar with the requirements of the HMC-VMM-002 ship's Precautionary Inspection, Maintenance Period and Distribution.",No
14601,Medium,2024-05-29,831,General Cargo,15.405886379192332,The EEXI technical file was not provided by the PSC.,"All the vessels need to have a certain number of mandatory, hazard, safety, fire, direction and prohibitory signs.",Poor order.,There are insufficient information documents in supervision.,Master requested for a copy of EEXI Technical File to be sent by e-mail.,The long term measures include making a file folder onboard.,No
10129,Medium,2022-08-10,1477,Ro-Ro,13.190965092402465,Master was told to comply from the current date onward after only 3 compass observations in the last 5 weeks.,"If not possible to take observation due to overcast skies, poor visibility or due to heavy traffic, an entry is to be made to justify not being able to take gyro error observation.",The number of compass observations was insufficient.,"The deck log book shows overcast skies and poor visibility, but no entry was made on the azimuth log to justify not having a compass error observation.","When the condition does not allow to take compass error observation, duty officers did not make remarks on the compass observation log.",The duty officers didn't have log entry on the azimuth log.,No
5105,Low,2023-04-12,3083,Dry Bulk,10.275154004106776,The Key Officer wasn't familiar with the operation.,Disregard deficiency before departure.,The procedure for changing from AC to DC power was not explained by the 3rd officer.,The PSC officer wrote that the Key Officer was not familiar with the operation.,The test was immediately carried out by the master.,Master instructed the PIC to carry out the test.,No
1102,Low,2023-02-27,3188,Container,16.659822039698838,The completion date of the survey on which the certificate is based was before the issuance of the S.C certificate.,The vessels get the same date to fix the boiler controllers malfunction.,The same serial numbers were shown for the auxiliary engines.,The class issued certificate was not checked for clerical errors.,The PSCO was satisfied with the new certificate issued by the Class.,All certificates received onboard should be checked for details and any Typo errors should be addressed immediately.,No
99102,Medium,2023-10-01,813,Container,16.747433264887064,The room wasn't as clean as it should have been.,"In the 'before' pictures, the change over procedure was ship specific, but it was revised as requested and the deficiency was fixed before departure.",Instructions for correction were given and the deficiency was fixed on-site during the inspection.,"The deficiency was recorded due to the presence of oil in the boiler fuel oil feed pump in the purifier room, which was cleaned after the inspection.",The PSC officer verified the actions taken by the engine personnel and the deficiency was closed out during the inspection.,The Master and the Chief Engineer held an ad hoc meeting after the inspection to improve good housekeeping practices.,No
18424,Low,2023-07-31,5076,Chemical,18.6611909650924,There is a leaking bandage on the heating line in front of the superstructure.,The water leak was caused by the worn-out gasket.,Maintenance is improper.,Insufficient inspection.,The heated cargo has now been discharged and Master confirmed that cosmetic maintenance has continue on steam line and the upgrading process is being closely monitored by technical department.,The general condition of steam lines on the main deck should be checked regularly by the Master and Chief Engineers to make sure that they are free of damage.,No
11106,Medium,2023-03-27,1000164,Dry Bulk,10.494182067077343,"During the PSC inspection, the rescue boat engine failed to start.",There is planned maintenance on the diesel generator.,There was a failure to follow SOLAS regulations.,The ship's engineer couldn't find the engine's spark plug since the engine started without a problem on last inspection.,The engine's starting is in good order after the ship's crew dismantled the igniters and cleaned them.,"Every week, this item will be checked under the company system, under the IT platform, under the ship's LSA checklist, and under the rescue boat engine test.",No
6109,Low,2023-10-11,1251,Container,16.279260780287473,Program settings are loaded.,The settings for the container in the loading program were found to be far over reasonable limits.,There are factors that affect the vessel.,"The factors that affect a job are system factors, inadequate communication, and information.",'Heavy over light' container settings should be changed to a limit/weight.,The finding will be shared with the entire fleet to make sure that the same finding won't be repeated on other vessels.,No
14599,High,2024-05-21,1152,Dry Bulk,9.971252566735114,There is no evidence that the operations waste is met with the requirements of MARPOL AnNEX V.,It was not possible to confirm if the disposal method of the operational garbage was in line with the MARPOL rules because the Garbage Log did not record it.,The Master and C/O didn't know how to enter the Garbage Log.,The Master and C/O didn't know how to enter the Garbage Log.,The Garbage Management Plan was re-educated.,The Master and C/O were told to enter the Garbage Log.,No
6199,High,2022-10-21,1251,Container,9.708418891170432,"The ISO sockets at bay 14(SA), 18(SA), 26(SF) and 38(SF) were wasted.",The Emergency Diesel Generator tank was not marked for 18.0 hours of working at maximum capacity during the PSC Inspection at port Taman.,There are human factors.,Not enough to meet the requirement.,The crew replaced the old ISO sockets with new ones.,To follow the requirements.,No
4102,Low,2022-12-05,439,Dry Bulk,10.926762491444215,The water came from the fire pump.,"The starboard side freeboard marks, forward and middle draft marks, and Plimsoll mark are not fully painted.",There are human factors.,There was insufficient compliance with the instructions.,The emergency fire pump was repaired and resumed.,Maintenance training will be conducted on board to make sure crews fulfill their responsibilities.,No
1221,Medium,2022-08-08,1459,Dry Bulk,8.10403832991102,Not available is the record of employment.,Seafarers' extension contracts are not signed by the owner's managers.,Failure to comply with industry rules.,"Seafarers contract extensions were in place for all crew, but they couldn't be processed at POEA since the vessel's manning had been handed over to new management.",The contracts don't like manning the department.,All staff are told to carry Signed contracts at the beginning of their contracts.,No
1328,Medium,2024-05-21,532,Dry Bulk,10.636550308008214,Seemp part 1 wasn't on the plane.,The Emergency efficiency certificate was issued to the vessel at the time of inspection.,There was a failure to follow instructions.,The ship staff kept the file in soft copy because they missed the instructions for printing.,The master was told to keep the SEEMP in the hard copy and soft copy.,The deficiency status was closed after the completion of the QMS Dept.,No
10135,Medium,2024-04-08,1036,Dry Bulk,0.6872005475701575,Several navigation officers were unable to demonstrate placing a position on the ECDIS.,"OOW was asked to demonstrate placing a position on the ECDIS, but was unable to do so.","There was a lack of continuous learning and familiarization in order to gain confidence and more knowledge specifically to use all navigation equipment, which was expressed by OOW during the inspection.",Proper training and familiarization are lacking.,"In order to ensure comprehension and learning of the familiarization, the Deck Officers were provided with individual demonstrations of placing positions derived from bearing and distances obtained from terrestrial objects.","To ensure full understanding of the equipment usage, the company should conduct a comprehensive training familiarization for deck officers on the use of ECDIS.",No
13106,Medium,2023-04-05,1693,Dry Bulk,15.42505133470226,Oil and broken.,The convention is called BWM Convention B.,The inspector observed that a firefighter's neck was exposed during a mock drill.,"Due to lack of time, a task was unable to perform.",The first place insulation material was rectified.,All fleet vessels haveficiencies.,No
2136,High,2023-04-29,2074,Chemical,11.827515400410675,The ship's structutal integrity may have been compromised as a result of the collision.,The company policy is to maintain the vessel in its highest standards.,The lever in the meat room was damaged when one of my crew accidentally hit it.,There was a collision with Hong Hai 189.,Repairs to the satisfaction of the class have been carried out.,The damaged areas will be repaired within the deadline provided by the class.,No
9298,Medium,2022-08-12,4950,Dry Bulk,14.52703627652293,"When an enclosed space entry drill is carried out, it is not allowed by the crew.","When an enclosed space entry drill is carried out, it is not allowed by the crew.",PSCO recorded a deficiency because Master's information that the familiarization process of the signed on 2nd Officer was just initiated at the same day was not accepted.,"Conflicting demands, directions, and inadequate transfer of information are some of the problems.","To the satisfaction of the PSCO's request, an additional safety enclosed space rescue drill was conducted, while requested SMS work permit report was also completed.",During the Master's next monthly safety meeting for all crew members awareness / attention was given to the fact that there are deficiencies that need to be communicated to all managed vessels.,No
9111,Low,2023-02-13,1212,Dry Bulk,5.702943189596167,There are four mattresses in the hospital.,"Due to crew being occupied with port activities and duties, old mattress was not taken out of hospital in time.",Crew members don't know what an emergency is when they are in the engine room.,The poor weekly examination of the ship's hospital was the cause of this.,Mattresses are moved to the equipment store.,A training session was held by the master to all crew members to make them aware of the importance of keeping the hospital room tidy and equipped with only the required items.,No
11125,Medium,2023-05-17,2291,Dry Bulk,8.624229979466119,The rescue boat crane wasn't coming back to neutral position.,The operating handle was not free to come back in position due to rust and inadequate lubrication as the operating handle mechanism is exposed to external corrosive weather conditions.,The returning spring mechanism was immediately lubricated by the ship's crew.,The condition of the rescue boat davit and associated operating handle should be checked by the master during the rescue boat drill.,"The officer in charge will carefully monitor the condition of the operating handle in relation to any damage, rust, or inadequate lubrication and make sure that the defect is fixed immediately.","During the post inspection safety meeting, master told department heads to fix any defect that was reported.",No
9203,Low,2023-10-05,2113,Dry Bulk,11.509924709103354,There was no lighting at the funnel trunk.,The emergency light outside the funnel was unlit when PSCO checked the lighting system.,Substandard acts.,"During the pre-arrival tests, one bulb in the top of the funnel was found to be broken.",The broken bulb was replaced prior to the completion of the inspection.,"In order to always check the vessel's lighting at all times, the master and crew were briefed.",No
14199,Low,2023-03-30,2727,Dry Bulk,3.241615331964408,There are missing manometers on the deck of the Bunker station.,Including pipe and valves.,Substandard acts.,The PSC officer found that manometers were not installed.,There are Manometers on the station.,The next cumulative findings report will be a lesson learnt from this deficiency.,No
14102,Medium,2023-06-19,3623,Dry Bulk,12.462696783025326,There is a dirty surface around the Rescue Boat.,The Rescue Boat has a dirty surface and a lot of oil.,The muster list was updated.,There was incomplete maintenance and lack of hazardous recognition.,The deck was cleaned and the oil was removed.,"During the stay in port, this attention will be included in the order book and operational meeting.",No
14121,High,2023-07-27,2727,General Cargo,14.236824093086929,Oil pollution discharge reported by the vessel and there are apparent oil substance remaining onboard and the hull of the vessel are suspected of being a discharge violation.,Oil pollution discharge reported by the vessel and there are apparent oil substance remaining onboard and the hull of the vessel are suspected of being a discharge violation.,There was an oil spill on the deck.,Crew failed to follow instructions from senior officers.,Emergency clean up operation on deck followed by reporting to office and concerned authorities.,It is necessary to conduct cross checks during internal oil transfer.,No
7125,Low,2023-03-27,1116,Dry Bulk,8.903490759753593,Communication at the drill was done in Chinese and the English language was not fully understood by all crew members.,"The Deck Log Book was printed in English for Bridge-to-Bridge / Bridge-to-Shore communications, but the PSCO wanted it to be handwritten.",The crew lacked confidence because of the presence of various external parties.,Chinese and English were used to communicate with the Philippine crew.,Use English only in drills.,English is the only language used in the drill.,No
